index,text,company,positive,negative,notr
1,Her seferinde aynı sorun! Bu defa kredi kartı ekstreme yanlış yansıma olmuş. @GarantiBBVA,Garantibbva,,yanlış yansıma olmuş,
2,Her zaman alışveriş yaptığım mağazadan memnun kalıyordum ama son siparişimde iki ürün eksik geldi. Üstelik müşteri hizmetleri hiç yardımcı olmadı.,,alışveriş yaptığım mağaza,hiç yardımcı olmadı|iki ürün eksik geldi,
3,Herhangi bir indirimden faydalanmak istiyorum Türk Telekom hattımda sürekli sorun yaşıyorum.,Türk Telekom,,sorun yaşıyorum,indirimden faydalanmak istiyorum  
4,Hizmet kaliteniz gerçekten çok kötü @TTNET,TTNET,,hizmet kaliteniz çok kötü,
5,Hizmet kaliteniz gerçekten çok kötü. Ne zaman ararsam kimseye ulaşamıyorum. #Turkcell,Turkcell,,çok kötü|kimseye ulaşamıyorum,
6,Hizmetten memnun değilim @vodafone müşteri hizmetleriyle bir türlü bağlanamıyorum. Sürekli beklemek zorunda kalıyorum.,vodafone,,memnun değilim|bir türlü bağlanamıyorum|beklemek zorunda kalıyorum,
7,Hiç böyle bir rezillik görmedim ya kargom 1 haftadır gelmedi sürekli oyalanıyorum, #YurticiKargo,rezillik,,sürekli oyalanıyorum  
8,Instagram'da reklam veriyorum ama bir türlü onaylanmıyor. Destek ekibine yazıyorum cevap yok. Bu nasıl iş?,Instagram,,bir türlü onaylanmıyor|cevap yok,
9,Instagram'da sürekli reklam çıkıyor bıktım artık görmek istemiyorum bu kadar saçma bir şey olamaz.,Instagram,,bıktım|saçma,
10,Internet 3 gündür kesik sizden şikayetçiyim Türk Telekom müşteri hizmetlerine ulaşamıyorum bir türlü.,Türk Telekom,,şikayetçiyim,
11,Istanbulkart dolum cihazları bugüne kadar hep sorunlu oldu. Artık bıktım! @istanbulkart,istanbulkart,,bıktım|sorunlu oldu,
12,Karaca’dan aldığım tabak takımı 3 parça eksik geldi. Müşteri hizmetleriyle defalarca iletişime geçtim ama sonuç yok. Bir daha alışveriş yapmam.,Karaca,,eksik geldi|sonuç yok|alışveriş yapmam,
13,Kargo bir haftadır gelmedi. Gönderi takip numaramla sorguladığımda bir türlü bulamıyorum. Şikayetçiyim.,,,kargo bir haftadır gelmedi|bulamıyorum|şikayetçiyim,
14,Kargo tam zamanında geldi ama ürün hasarlıydı bu durumu nasıl düzeltebiliriz?,,tam zamanında geldi,hasarlıydı,bu durumu nasıl düzeltebiliriz  
15,Kargo şirketi siparişimi 2 hafta boyunca getirmedi. Aradığımda sürekli yanlış bilgilendirme yapıldı. Kesinlikle bir daha bu firmayı kullanmam.,,,yanlış bilgilendirme|getirmedi|kesinlikle bir daha kullanmam,
16,Kargom 2 haftadır gelmedi böyle rezillik görmedim. Bir daha asla @ArasKargo ile çalışmam.,ArasKargo,,rezillik|gelmedi|asla çalışmam,
17,Kargom 5 gündür gelmedi müşteri hizmetleri ilgilenmiyor. #YurtiçiKargo,YurtiçiKargo,,5 gündür gelmedi|ilgilenmiyor,
18,Kargom beklediğimden geç geldi ve üründe hasar vardı. Ne biçim iş yapıyorsunuz @ArasKargo?,ArasKargo,,geç geldi|hasar vardı|ne biçim iş yapıyorsunuz,
19,Kargom bir haftadır gelmedi bu ne rezillik @YurtiçiKargo @KargoDestek,YurtiçiKargo|KargoDestek,,rezillik|gelmedi,
20,Kargom bir haftadır gelmedi müşteri hizmetlerine bağlanamıyorum ne biçim iş bu @YurtiçiKargo,YurtiçiKargo,,bir haftadır gelmedi|bağlanamıyorum,
21,Kargom iki haftadır bekliyor neden gelmiyor hala? Aldığım diğer ürünler çoktan geldi ama bu firma çok yavaş.,,diğer ürünler geldi,gelmiyor|çok yavaş,
22,Kargom iki haftadır gelmedi. Takip numaram var ama hiçbir şekilde ulaşamıyorum. Bu nasıl hizmet?,,,iki haftadır gelmedi|hiçbir şekilde ulaşamıyorum|nasıl hizmet,
23,Kargom kayboldu ve müşteri hizmetleri hiç yardımcı olmadı. Bir daha asla bu firmayı kullanmam.,,firma,hiç yardımcı olmadı|kayboldu|asla kullanmam,
24,Kargomun teslim süresi çok uzadı o kadar bekledim ki sinir oldum bir daha #YurtiçiKargo kullanmam,YurtiçiKargo,,teslim süresi çok uzadı|sinir oldum|bir daha kullanmam,
25,Kıyafetlerimin tamamını Mavi'den aldım ama son alışverişimdeki gömlekler hemen yıprandı. Kalitesine güveniyordum ama hayal kırıklığı oldu.,Mavi,Kalitesine güveniyordum,gömlekler hemen yıprandı|hayal kırıklığı oldu,
