index,text,company,positive,negative,notr
1,Mubi üyeliği sırasında 3 ay 20 TL kampanyasından faydalanmak istedim ancak 129 TL çekti ve iade etmiyor. Hem kampanyadan yararlanamadım hem de aylık ücret hemen çekildi ve iade olmuyor. Kampanyadan yararlanamayacaksak neden böyle bir reklam çıkıyor. Ücret iademi ve 20 TL kampanyasından yararlanmak istiyorum.,Mubi,yararlanmak istiyorum,çekti ve iade etmiyor|yararlanamadım|çekildi ve iade olmuyor,
2,Gökyüzünet abonesiyim ve bu kadar sorunlu bir firma olamaz. İnternetim 35 mbps ama aldığım 12-16 mbps arasında sürekli kopmalar oluyor. Modem kaynaklı dediler. Gittim modem aldım ve hala aynı sorunlar var. Müşteri hizmetlerini arıyorum; ezberlenmiş cevaplar veriyorlar. Abonelik iptali istediğimde 1.900 TL civarında cayma bedeli çıkarıyorlar. Bunlar kadar saçma ve sorumsuz bir firma yoktur bence.,Gökyüzünet,bence.,bu kadar sorunlu bir firma olamaz|sürekli kopmalar oluyor|ezberlenmiş cevaplar veriyorlar|saçma ve sorumsuz bir firma yoktur|Modem kaynaklı dediler|aynı sorunlar var,
3,TurkNet firmasının KOBİ internet sağlayıcısını kullanıyorum.\nFaturam 450₺ civarında gelirken bu ay 850₺ olmuş.\nMüşteri hizmetlerine kesinlikle ulaşamıyorum. \n\n\n\n\n\n\n\n\n\n\n\n\n\nKimse yardımcı olmuyor.\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nLütfen yardımcı olun bu konuyla ilgili.,TurkNet,Lütfen yardımcı olun bu konuyla ilgili,Müşteri hizmetlerine kesinlikle ulaşamıyorum|Kimse yardımcı olmuyor,
4,@elifbetik @UPSDestek Sayın Müşterimiz KM ile başlayan sipariş numarasını bizlerle paylaşmanızı önemle rica ederiz. DM üzerinden sizlerle iletişime geçilmiştir. Saygılarımızla.,UPSDestek,Sayın Müşterimiz|Saygılarımızla,DM üzerinden sizlerle iletişime geçilmiştir,
5,simdi bu durumda ben ne kadar oduyorum? @TTDestek,TTDestek,,,simdi bu durumda ben ne kadar oduyorum?
6,@kamilkocdestek Sizden bilet alıyoruz seyahata saatler kala seferin iptal edildiğine dair bir mesaj atıyorsunuz aradan günler geçti paramı da iade etmiyorsunuz üstelik günlerdir sikayetimize dönüş yapılacaktır diye geçiştiriyorsunuz. Müşteri umrunuzda değil,kamilkocdestek,,seferin iptal edildiğine dair bir mesaj atıyorsunuz|paramı da iade etmiyorsunuz|Müşteri umrunuzda değil|geçiştiriyorsunuz,
7,@VodafoneDestek Teşekkür ederim ama yine bir şey çıkmayacaktır,VodafoneDestek,Teşekkür ederim,,
8,Gerçekten bizlere bilgi verilmiyor nedense ve açıksası elektrik kesintileri açısından son 2 gündür hep mağdur durumda kaldığımız kesin dir bu tarz şeyler de aradığımız zaman doğru düzgün bilgi veya saat verilmiyor oyüzden süreç çok yavaş bence hızlandırılması şart.@BEDASDestek,BEDASDestek,,elektrik kesintileri açısından son 2 gündür hep mağdur durumda kaldığımız kesin|doğru düzgün bilgi veya saat verilmiyor|süreç çok yavaş|hızlandırılması şart,
9,Merhaba bundan bir birkaç ay önce mubi indiriminden yararlanıp üyelik yaptırmıştım 3 aylık sonrasında üyeliğimi iptal etmeyi unutmuşum. Fakat bugün 1 saat arayla kartımdan onayım olmadan 2 ödeme çekilmiş gözüküyor bu konuda yardımcı olabilir misiniz? Severek kullandığım platformu bu dikkatsizliği sebebiyle izlemeyi bırakmak istemem açıkçası.,mubi,Severek kullandığım platformu,onayım olmadan 2 ödeme çekilmiş|izlemeyi bırakmak istemem,
10,@EvkurDestek müşteri temsilcileriniz okey mi oynuyor? hattın ucunda dakikalardır bekletmek neden?,EvkurDestek,,hattın ucunda dakikalardır bekletmek neden?,
11,6 defa şikayet etmem rağmen sokak aydınlatmalarımıza bakan yok. 9214491258 en son sikayetimin numarasi. Lutfen çözüm istiyoruz. @BeratAlbayrak @ibbBeyazmasa @ayedasdestek @mevlutuysal_bsk @Pendik_Belediye @ibbPR @TCEnerji @enerjisadestek,ayedasdestek|enerjisadestek|TCEnerji|Pendik_Belediye|ibbBeyazmasa,,sokak aydınlatmalarımıza bakan yok,
12,Bilgilendirme: Sn. Balta VakıfBank Kredi Kartınızı Konaklı şubemizden teslim alabilirsiniz. 28.06.2024 tarihine kadar kredi kartınızı teslim almanız durumunda 05.07.2024 tarihine kadar faizsiz ve masrafsız 3 taksitli 20.000 TL Nakit Avans kullanabilirsiniz. Saygılarımızla VakıfBank. Kampanya. Böyle bir mesaj geldi ancak bankaya gittim kredi kartını teslim alamadım.,VakıfBank,faizsiz ve masrafsız|Saygılarımızla,kredi kartını teslim alamadım,
13,@SetrabetDestek #setrabet1855128312.5ust,SetrabetDestek|setrabet,,,
14,Daha kampanyamın 1ci döneminde olmama rağmen saçma saçma fiyat teklifleri ile çağrı merkezinizden aramaktan bıktım.\nBütün sosyal medya platformlarda dile getiriyorum geri dönüş yapanda yok. H**** A**** dan telefonun başında çaresiz bekliyorum şarkısını dinliyorum.\nGeri dönüş sağlarsanız sevinirim,,,saçma saçma fiyat teklifleri|Geri dönüş sağlarsanız sevinirim,
15,@YurticiDestek günaydın tazmin dilekçemin kabul edilmeme gerekçesini öğrenebilir miyim yazılı olarak?,YurticiDestek,,,tazmin dilekçemin kabul edilmeme gerekçesini öğrenebilir miyim
16,@mawitamin @onuoyleyapma @DominosTR @DominosDestek #YasininPizzasınaDOKUNMA,DominosTR|DominosDestek,,,
17,Bana sormadan aboneliğimi yenilemişler gecen sene de aynı şey oldu 1 senelik ücreti kredi kartımdan çekmişlerdi yine paramı geri alamadım. Bu senede aynı şey oldu kredi kartımdan 830 TL çekilmiş bana sorulmadan kesinlikle paramı geri istiyorum bu nasıl bir uygulama ya. Dava edeceğim!,,,kredi kartımdan 830 TL çekilmiş bana sorulmadan|paramı geri alamadım|Bana sormadan aboneliğimi yenilemişler|Dava edeceğim!,
18,10.06 da verdiğim sipariş bugün 10 gün oldu hala kargoya verilmedi ve kandırıldığımı düşünüyorum bir çok şikayet var bu sayfanın hakkında ne telefonlara ne mesajlara dönüş yapılmıyor aksi halde ben Tüketici Mahkemesi'ne şikayet edeceğim. Ürünümün en kısa sürede elime ulaşması talep ediyorum!. Tarafıma,Tüketici Mahkemesi,,kandırıldığımı düşünüyorum|hala kargoya verilmedi|dönüş yapılmıyor,
19,Millenicom İnternet kullanıcısıyım. Günlerdir çekmiyor çalışma var deyip yarın bitecek diyorlar. Yarın oluyor tekrar yarın bitecek diye diye yaşam kalitemizi altüst ettiler. İptal etmek istiyorum. Bir müşteri temsilcisi yok kimseyle konuşamıyorum muhatap yok. Çok pişmanım bu İnternet hattından. Maddi ve manevi zarar gördüm. İlk günden beri hep çekmeme sorunu vardı ama bu defa tam perişanlık. Lütfen bir muhatap istiyorum. Yardım edin.,Millenicom İnternet,Yardım edin,çekmiyor|yaşam kalitemizi altüst ettiler|Çok pişmanım|Maddi ve manevi zarar gördüm|tam perişanlık,
20,@TK_TR Biletimi alırsanız neden olmasın?,TK_TR,,,
